date,description,amount,provider
28/04/2024,BUNNINGS LIDCOMBE 7173  LIDCOMBE,16.28,AMEX
28/04/2024,CN POULTRY EASTWOOD 849 EASTWOOD,15.71,AMEX
30/04/2024,PAYPAL *IKEA AU 4008.84 0280206641,19.0,AMEX
28/04/2024,RUMBLES FINE CAFE       EASTWOOD,23.3,AMEX
28/04/2024,SUPERFRESH              EASTWOOD,20.89,AMEX
27/04/2024,EDITION ROASTERS MC 124 SYDNEY,6.0,AMEX
26/04/2024,LETAO SYDNEY            Sydney,20.29,AMEX
27/04/2024,THE Q ON HARRIS 58996   ULTIMO,4.0,AMEX
26/04/2024,BLACKBIRD AND CO        ERSKINEVILLE,5.18,AMEX
27/04/2024,PAYPAL *CONDE NAST NEWY 8557561671,9.47,AMEX
24/04/2024,ALL PURPOSE BAKERY      Sydney,14.14,AMEX
25/04/2024,EDITION ROASTERS MC 124 SYDNEY,6.0,AMEX
26/04/2024,GONG GROCER             SYDNEY,5.5,AMEX
26/04/2024,KINOKUNIYA BOOK STORES  SYDNEY,65.4,AMEX
23/04/2024,BPAY PAYMENT-THANK YOU REC # 2987836484,-4399.66,AMEX
24/04/2024,EDITION ROASTERS MC 124 SYDNEY,11.0,AMEX
25/04/2024,IKEA TEMPE              TEMPE,129.0,AMEX
24/04/2024,CHEMIST WAREHOUSE SYDNE SYDNEY,35.08,AMEX
24/04/2024,UPPERROOM HOLDINGS PTY  SYDNEY,19.31,AMEX
23/04/2024,WW METRO 1211 PITT STRE SYDNEY,1.84,AMEX
21/04/2024,BTB KIRRIBILLI          Milsons Point,10.54,AMEX
21/04/2024,MARKET CITY PHARMACY    HAYMARKET,21.0,AMEX
22/04/2024,THAI KEE IGA SUPERMARKE HAYMARKET,7.81,AMEX
22/04/2024,VICTORIA'S BASEMENT AUB AUBURN,641.4,AMEX
20/04/2024,EDITION ROASTERS 79951  HAYMARKET,6.5,AMEX
21/04/2024,VICTORIA'S BASEMENT     ALEXANDRIA,17.95,AMEX
20/04/2024,BUDGET PETROL CHIPPENDA CHIPPENDALE,47.38,AMEX
18/04/2024,EDITION ROASTERS 79951  HAYMARKET,5.0,AMEX
19/04/2024,KMART BROADWAY 1155     BROADWAY,-29.0,AMEX
19/04/2024,KMART BROADWAY 1155     BROADWAY,21.0,AMEX
19/04/2024,KMART BROADWAY 1155     BROADWAY,93.8,AMEX
20/04/2024,MYHEALTH DARLING SQUARE SYDNEY,143.52,AMEX
20/04/2024,PIXEL PERFECT PROLAB    ULTIMO,15.0,AMEX
17/04/2024,GLOBIRD ENERGY PTY LTD  RINGWOOD,33.74,AMEX
16/04/2024,CHAFFEE HOUSE           EASTWOOD,4.5,AMEX
16/04/2024,HAVEN SPECIALTY COFFEE  Ultimo,5.0,AMEX
12/04/2024,ALL PURPOSE BAKERY      Sydney,20.2,AMEX
13/04/2024,CITY PHYSIO SYDNEY P/L  SYDNEY,143.0,AMEX
13/04/2024,UBER TRIP               HELP.UBER.COM,11.36,AMEX
13/04/2024,CHEMISTWORKS BROADWAY   BROADWAY,52.65,AMEX
12/04/2024,PORTAFILTER             Sydney,4.0,AMEX
12/04/2024,SHAVER SHOP BROADWAY    BROADWAY,22.9,AMEX
13/04/2024,THAI KEE IGA SUPERMARKE HAYMARKET,-5.99,AMEX
13/04/2024,THAI KEE IGA SUPERMARKE HAYMARKET,77.1,AMEX
12/04/2024,ULTIMOMEDICALPRACTICE 1 ULTIMO,86.4,AMEX
12/04/2024,WIN KEE BUTCHERY PTY. 1 HAYMARKET,23.71,AMEX
11/04/2024,MAMAKSMLC 112906        SYDNEY,17.5,AMEX
11/04/2024,PAYPAL *BULKNUTRIEN     4029357733,64.0,AMEX
12/04/2024,THAI KEE IGA SUPERMARKE HAYMARKET,100.48,AMEX
10/04/2024,CHAFFEE HOUSE           EASTWOOD,4.5,AMEX
10/04/2024,KMALL09 EASTWOOD        EASTWOOD,51.21,AMEX
10/04/2024,JIHUN LEE               EASTWOOD,14.5,AMEX
09/04/2024,PAYPAL *NETFLIX AUS     4085403700,22.99,AMEX
07/04/2024,AIRTASKER* 15122045X    SYDNEY,84.75,AMEX
07/04/2024,AIRTASKER* 15122439X    SYDNEY,67.8,AMEX
09/04/2024,CONCIERGE CAR WASH - BR BROADWAY,70.56,AMEX
08/04/2024,PAYPAL *BIG W           01300244999,114.0,AMEX
05/04/2024,CITY PHYSIO SYDNEY P/L  SYDNEY,72.0,AMEX
05/04/2024,KABUL SOCIAL WYNARD     Sydney,57.51,AMEX
06/04/2024,KUNG FU CLUB 79952      SYDNEY,49.2,AMEX
06/04/2024,SEOULRIA                SYDNEY,203.0,AMEX
04/04/2024,WW METRO 1211 PITT STRE SYDNEY,13.0,AMEX
